Hotel,City,Cost,SellPrice,MarketRate
Bangkok Grand Palace,Bangkok,80,120,110
Bangkok Riverside Hotel,Bangkok,95,130,140
Bangkok City Inn,Bangkok,70,90,85
Bangkok Luxury Suites,Bangkok,150,180,210
Phuket Beach Resort,Phuket,140,160,130
Phuket Ocean View,Phuket,120,150,140
Phuket Budget Stay,Phuket,60,75,70
Phuket Luxury Villas,Phuket,220,260,300
Chiang Mai Lodge,Chiang Mai,65,85,90
Chiang Mai Riverside,Chiang Mai,75,95,100
Chiang Mai Boutique Stay,Chiang Mai,90,110,120
Krabi Seaview Resort,Krabi,110,140,135
Krabi Island Hotel,Krabi,130,155,145
Krabi Budget Rooms,Krabi,55,70,65
Pattaya Beach Hotel,Pattaya,85,110,100
Pattaya City Resort,Pattaya,95,120,110
Pattaya Budget Inn,Pattaya,50,65,60
Bangkok Airport Hotel,Bangkok,60,85,95
Bangkok Business Suites,Bangkok,100,135,150
Phuket Family Resort,Phuket,125,155,160
Phuket Premium Hotel,Phuket,180,220,260
Chiang Mai Mountain Retreat,Chiang Mai,85,105,115
Krabi Luxury Escape,Krabi,200,240,280
Pattaya Seaside Villas,Pattaya,160,190,210
Bangkok Budget Hostel,Bangkok,40,55,60
